"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","$0,00"
"P/L Terbuka","$0,00 / 0,00%"
"P/L Harian","-$1.884.916.700.000,00 / -0,08%"
"P/L Total","$95.153.260.788.669,78"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","ETH/USD","ETH/USD","Binance","04/06/2021","Jual","999999999999.99999999","2.086,42","04/06/2021","2.088,35","-9,25%","-$1.929.999.999.999,80"
"","Ethereum","ETH/USD","Investing.com","04/06/2021","Jual","2000000000.00000000","2.078,25","04/06/2021","2.076,87","0,07%","$2.759.999.999,00"
"","Ethereum","ETH/USD","Investing.com","04/06/2021","Jual","1000000000.00000000","2.080,82","04/06/2021","2.080,76","0,00%","$59.999.999,00"
"","BTC/ETH","BTC/ETH","Synthetic","04/06/2021","Jual","1000000000.00000000","27,85","04/06/2021","27,85","0,00%","-$1,00"
"","BTC/ETH","BTC/ETH","Synthetic","04/06/2021","Jual","1000000000.00000000","27,85","04/06/2021","27,85","0,00%","-$1,00"
"","BTC/ETH","BTC/ETH","Synthetic","04/06/2021","Jual","1000000000.00000000","27,85","04/06/2021","27,85","0,00%","$0,00"
"","BTC/ETH","BTC/ETH","Synthetic","04/06/2021","Jual","1000000000.00000000","27,83","04/06/2021","27,81","3,59%","$41.466.599.999,00"
"","Bitcoin","BTC/USD","Investing.com","04/06/2021","Jual","1000000.00000000","58.656,0","04/06/2021","58.495,1","0,27%","$160.900.000,00"
"","BTC/AUD","BTC/AUD","BTC Markets","04/05/2021","Jual","999999999999.99999999","76.763,6","04/05/2021","76.755,9","1,00%","$5.891.300.000.000,00"
"","ETH/USD","ETH/USD","Bibox","04/05/2021","Jual","999999999999.99999999","2.057,66","04/05/2021","2.060,03","-11,52%","-$2.370.000.000.000,30"
"","ETH/USD","ETH/USD","Binance","04/05/2021","Jual","999999999999.99999999","2.058,14","04/05/2021","2.056,62","7,39%","$1.520.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","04/05/2021","Jual","100000000000.00000000","851.000.000","04/05/2021","851.001.000","-0,01%","-$68.850.000,00"
"","ETH/IDR","ETH/IDR","Luno","04/05/2021","Jual","999999999999.99999999","30.303.000","04/05/2021","30.253.000","16,50%","$34.425.000.000,00"
"","ETH/USD","ETH/USD","Binance","04/05/2021","Jual","999999999999.99999999","2.078,86","04/05/2021","2.072,44","30,88%","$6.420.000.000.000,10"
"","ETH/EUR","ETH/EUR","Coinbase Pro","04/05/2021","Jual","999999999999.99999999","1.764,67","04/05/2021","1.764,04","3,57%","$741.195.000.000,13"
"","ETH/CAD","ETH/CAD","Kraken","04/05/2021","Jual","999999999999.99999999","2.619,31","04/05/2021","2.611,51","29,78%","$6.206.500.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/05/2021","Beli","100000000000.00000000","58.124,4","04/05/2021","58.118,2","-0,01%","-$620.000.000.000,44"
